"";"tratamentos";"Ceriodaphnia";"Moina";"Dunhevedia";"Leydigia";"Ephemeroporus";"Cyclopoid";"Calanoid";"OstracodsA";"OstracodsB";"OstracodsC";"OstracodsD";"OstracodsE";"OstracodsF";"conchostraca";"Streptocephalus"
"1";"Control_1_ab_high_1";48,5;44,5;0;4,5;0,5;44;0;9,5;1,5;0,5;4,5;2;0;0;0
"2";"Control_2_ab_high_1";5;21;0;0;0;21;1,5;0;2;2;3;0;0;1;0,5
"3";"Control_3_ab_high_1";0;0;0;0;0;46;0;1;0;1;1,5;1;0;0,5;1
"4";"Control_4_ab_high_1";1,5;4,5;0;0;0;58;0;1;0;1;4,5;0;1;0,5;1,5
"5";"Control_5_ab_high_1";0;25;0;0;0;34,5;2;0;6;2;5,5;2;0;0,5;0
"6";"B_6_ab_high_1";0,5;1,5;0;0,5;0;0;0;2;0;0;3,5;0;2;1,5;1
"7";"B_7_ab_high_1";66;27;2;0;0;10;0;4;0;0;0;0,5;0;0,5;0,5
"8";"B_8_ab_high_1";53,5;43;0;0;0;7;0,5;12;0;2,5;0;0;0;0;0
"9";"B_9_ab_high_1";31,5;13,5;0;3,5;0;58,5;0;6,5;0;2;21,5;1,5;0;0,5;1
"10";"B_10_ab_high_1";3,5;38,5;0;0;0;3,5;0;6,5;0;0,5;0;0;0,5;0;0
"11";"E_11_ab_high_1";306;73;0;1,5;0;203;2;3;0,5;0,5;13;0,5;0;1;0
"12";"E_12_ab_high_1";105;132,5;0,5;0;0;25;1,5;16;0;1;1;0;2;0,5;1
"13";"E_13_ab_high_1";5,5;45;0;0,5;0;48,5;0,5;4,5;0;0;2,5;0;1,5;0,5;0
"14";"E_14_ab_high_1";67;62;1;0;0;164,5;1,5;7;1;1,5;16,5;0;1;2;1
"15";"E_15_ab_high_1";101,5;46;0;0,5;0;31,5;1;2;0;0,5;4,5;0;0;1;0,5
"16";"G_16_ab_high_1";26,5;71;0;0;0;120;0,5;5;0;2;7;1;0;0;0
"17";"G_17_ab_high_1";1;192,5;0;0,5;0;92,5;0;6;0;0;8;0;0,5;2;0,5
"18";"G_18_ab_high_1";5;96;0;0;0;242,5;0;19;0;1;22;0;2;1;1
"19";"G_19_ab_high_1";12,5;114,5;0;0;0;240;4;9;0,5;0,5;11;0;1,5;1;0,5
"20";"G_20_ab_high_1";6;27,5;0;1;0;128;2,5;10,5;0,5;1,5;7,5;1;2,5;2,5;1,5
"21";"I_21_ab_high_1";187,7;88,5;0;0;0;179,5;0;0;0;0;18;0,5;0;2,5;2
"22";"I_22_ab_high_1";24;107;0;0;0;14,5;0;9,5;0;0;0;0;0;0;0
"23";"I_23_ab_high_1";3;0;0;0;0;163,5;0,5;3;0;1;11;0;0;1;0
"24";"I_24_ab_high_1";168;138,5;0;0;0;19,5;0;1;1;0;11;0;0;0,5;0,5
"25";"I_25_ab_high_1";16,5;326;0;0;0;345;0;3,5;0;1;9,5;1;0;2,5;0,5
"26";"Z_26_ab_high_1";98,5;258;0;0;0;298,5;1,5;1,5;0;0;3,5;0;0;0;0,5
"27";"Z_27_ab_high_1";184;122,5;0;0;0;93,5;0,5;0;0;0,5;3,5;0;1;0;0,5
"28";"Z_28_ab_high_1";428,5;17,5;0;3;0;78,5;2;18;0,5;0;9;0,5;0;1;1,5
"29";"Z_29_ab_high_1";249,5;228,5;0;0,5;0;117,5;0;0;0;0,5;6,5;0;0,5;0;0,5
"30";"Z_30_ab_high_1";227;287,5;0;4;0;93;0;17,5;0,5;2;17;0,5;2,5;1;1
